[2025-10-29 14:29:43.254] [info]  [db] Initialized DB client
[2025-10-29 14:29:43.288] [info]  Redirecting to last visited project proj_783a66906c524cccb90d362e8917d7ce
[2025-10-29 14:29:43.649] [info]  [FileSystemDriver] Initialized in "/home/mohrt/.config/Insomnia/version-control"
[2025-10-29 14:29:43.655] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:29:43.656] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:29:43.656] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.4db7b19e-7a25-4909-ab8b-a91f87c078e1.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:29:44.726] [info]  [project] Fetching org_916f923e-d270-459d-902d-4f85437608d5
[2025-10-29 14:29:44.745] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:29:44.746] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:29:44.748] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.d3db70f7-f65a-40c7-acff-c85d25bc2665.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:29:46.291] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:29:46.292] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:29:46.292] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.a78299f1-bbc6-4485-8190-5ff6a0560bd5.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:29:46.400] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:29:46.401] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:29:46.401] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.8aa35b77-ce51-49f3-9c33-7eb76a859d68.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:29:46.918] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:29:46.918] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:29:46.918] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.c135f740-3aa8-4e74-afcf-6c20ecc232ff.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:29:51.782] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:29:51.783] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:29:51.783] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.934fb0d7-da55-4529-83d1-a2525edcd3c8.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:29:51.942] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:29:51.942] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:29:51.943] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.b79b646d-3899-49eb-b33b-51ab04ff84ed.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:29:52.147] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:29:52.148] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
